data,Temperatura do Ar a 2m,Temperatura Máxima do Ar a 2m,Temperatura Mínima do Ar a 2m,Umidade Relativa do Ar a 2m,Umidade Relativa do Ar Máxima a 2m,Umidade Relativa do Ar Mínima a 2m,Temperatura Interna,Pressão Atmosférica,Pressão Atmosférica Máxima,Pressão Atmosférica Mínima,Corrente Painel Solar,Radiação Incidente Total,Precipitação Pluviométrica,Velocidade Máxima do Vento 10m,Velocidade Média do Vento 10m,Temperatura do Solo 10cm,Fluxo de Calor no Solo,Direção do Vento 10m,Radiação,Temperatura do Solo 5cm,Temperatura do Solo 30cm,Umidade do Solo 5cm,Bateria,Velocidade Mínima do Vento 10m,Temperatura Mínima do Solo 5cm,Temperatura Máxima do Solo 5cm,Temperatura Mínima do Solo 10cm,Temperatura Máxima do Solo 10cm,Temperatura Mínima do Solo 30cm,Temperatura Máxima do Solo 30cm,Fluxo de Calor Mínimo no Solo 5cm,Fluxo de Calor Máximo no Solo 5cm,Umidade Mínima do Solo 5cm,Umidade Máxima do Solo 5cm
2020-09-17 20:00:00,30.86,31.77,29.95,53.6,,,,,,,,0.0,2.6,11.25,4.986,,,65.04,0.0,,,,,,,,,,,,,,,
2020-09-17 21:00:00,28.72,30.24,27.3,64.7,,,,994.0,,,,0.0,0.0,8.88,4.935,,,78.23,0.0,,,,,,,,,,,,,,,
2020-09-17 22:00:00,26.55,27.4,25.66,71.44,,,,995.0,,,,3.022,0.0,8.91,4.487,,,78.52,0.839,,,,,,,,,,,,,,,
2020-09-17 23:00:00,25.55,25.89,25.18,72.66,,,,996.0,,,,6.515,0.0,7.57,4.252,,,81.2,1.81,,,,,,,,,,,,,,,
2020-09-18 00:00:00,25.25,25.52,24.99,74.12,,,,996.0,,,,6.515,0.0,6.68,3.837,,,83.7,1.81,,,,,,,,,,,,,,,
2020-09-18 01:00:00,25.08,25.33,24.76,73.61,,,,997.0,,,,6.515,0.0,7.35,3.552,,,92.2,1.81,,,,,,,,,,,,,,,
2020-09-18 02:00:00,24.55,24.95,23.95,72.15,,,,998.0,,,,6.515,0.0,5.73,2.507,,,102.7,1.81,,,,,,,,,,,,,,,
2020-09-18 03:00:00,23.26,24.14,22.03,76.13,,,,998.0,,,,6.515,0.0,3.09,1.638,,,121.1,1.81,,,,,,,,,,,,,,,
2020-09-18 04:00:00,21.7,22.22,21.25,78.01,,,,997.0,,,,6.515,0.0,2.58,1.63,,,109.8,1.81,,,,,,,,,,,,,,,
2020-09-18 05:00:00,21.13,21.58,20.52,78.57,,,,997.0,,,,6.516,0.0,2.98,1.64,,,111.5,1.81,,,,,,,,,,,,,,,
2020-09-18 06:00:00,19.98,20.71,19.19,81.0,,,,996.0,,,,6.517,0.0,2.27,1.368,,,111.1,1.81,,,,,,,,,,,,,,,
2020-09-18 07:00:00,18.76,19.85,18.15,85.0,,,,996.0,,,,6.517,0.0,1.81,1.408,,,158.5,1.81,,,,,,,,,,,,,,,
2020-09-18 08:00:00,18.19,18.43,17.91,85.5,,,,996.0,,,,6.517,0.0,2.52,1.707,,,190.0,1.81,,,,,,,,,,,,,,,
2020-09-18 09:00:00,18.14,19.55,17.65,79.63,,,,996.0,,,,1.466,0.0,2.03,1.162,,,177.1,0.407,,,,,,,,,,,,,,,
2020-09-18 10:00:00,22.16,24.76,19.4,59.31,,,,998.0,,,,0.0,0.0,4.08,1.83,,,153.3,0.0,,,,,,,,,,,,,,,
2020-09-18 11:00:00,25.7,27.01,24.54,50.22,,,,998.0,,,,0.0,0.0,7.15,3.54,,,155.2,0.0,,,,,,,,,,,,,,,
2020-09-18 12:00:00,27.96,29.47,26.48,42.77,,,,999.0,,,,0.0,0.0,6.63,3.009,,,151.3,0.0,,,,,,,,,,,,,,,
2020-09-18 13:00:00,30.12,31.37,28.99,38.89,,,,999.0,,,,0.0,0.0,7.03,3.46,,,142.6,0.0,,,,,,,,,,,,,,,
2020-09-18 14:00:00,32.06,33.36,30.8,35.03,,,,999.0,,,,0.0,0.0,6.34,2.873,,,158.0,0.0,,,,,,,,,,,,,,,
2020-09-18 15:00:00,33.25,34.26,32.13,32.7,,,,998.0,,,,0.0,0.0,6.18,2.548,,,150.5,0.0,,,,,,,,,,,,,,,
2020-09-18 16:00:00,34.64,36.2,33.26,27.76,,,,996.0,,,,0.0,0.0,6.33,2.647,,,100.7,0.0,,,,,,,,,,,,,,,
2020-09-18 17:00:00,35.83,36.87,34.78,23.43,,,,995.0,,,,0.0,0.0,6.64,2.436,,,112.5,0.0,,,,,,,,,,,,,,,
