data,Bateria,Velocidade do Vento 10m,Intensidade Precipitação do Disdrômetro,Precipitação Acumulada do Disdrômetro,Direção do Vento 10m,Corrente Painel Solar
2014-08-12 12:45:00,13.25,3.7,11.84,0.0,151.0,529.0
2014-08-12 13:45:00,13.4,4.3,12.11,0.0,135.0,
2014-08-12 14:45:00,13.89,3.4,12.16,0.0,133.0,
2014-08-12 15:45:00,13.91,2.8,12.17,0.0,145.0,467.0
2014-08-12 16:45:00,13.88,2.6,12.17,0.0,153.0,413.0
2014-08-12 17:45:00,13.86,2.7,12.17,0.0,157.0,419.0
2014-08-12 18:45:00,13.86,2.9,12.17,0.0,145.0,435.0
2014-08-12 19:45:00,13.87,2.5,12.17,0.0,127.0,472.0
2014-08-12 20:45:00,13.9,2.9,12.17,0.0,151.0,523.0
2014-08-12 21:45:00,13.17,2.3,12.17,0.0,154.0,99.0
2014-08-12 22:45:00,12.8,1.5,12.17,0.0,173.0,
2014-08-12 23:45:00,12.78,,12.17,0.0,110.0,
2014-08-13 00:45:00,12.77,,12.17,0.0,301.0,
2014-08-13 01:45:00,12.75,1.0,12.17,0.0,347.0,
2014-08-13 02:45:00,12.73,4.0,12.51,72.0,117.0,
2014-08-13 03:45:00,12.72,6.0,14.04,72.0,125.0,
2014-08-13 04:45:00,12.71,5.9,15.6,72.0,139.0,
2014-08-13 05:45:00,12.69,3.7,16.37,0.0,88.0,
2014-08-13 06:45:00,12.68,2.7,16.4,0.0,34.0,
2014-08-13 07:45:00,12.66,2.6,16.41,0.0,131.0,
2014-08-13 08:45:00,12.64,3.0,16.47,71.0,110.0,
2014-08-13 09:45:00,12.63,2.9,16.51,0.0,133.0,11.0
2014-08-13 10:45:00,12.7,3.4,16.54,0.0,142.0,129.0
2014-08-13 11:45:00,13.03,3.3,16.56,0.0,148.0,283.0
2014-08-13 12:45:00,13.26,3.3,16.63,0.0,118.0,541.0
2014-08-13 13:45:00,13.39,3.3,16.66,0.0,123.0,
2014-08-13 14:45:00,13.85,2.8,16.66,0.0,151.0,
2014-08-13 15:45:00,13.89,2.2,16.66,0.0,167.0,469.0
2014-08-13 16:45:00,13.87,2.1,16.66,0.0,140.0,420.0
2014-08-13 17:45:00,13.86,2.3,16.66,0.0,172.0,433.0
2014-08-13 18:45:00,13.84,2.1,16.66,0.0,71.0,439.0
2014-08-13 19:45:00,13.87,1.8,16.66,0.0,140.0,481.0
2014-08-13 20:45:00,13.89,2.4,16.66,0.0,115.0,519.0
2014-08-13 21:45:00,13.16,1.6,16.66,0.0,130.0,98.0
2014-08-13 22:45:00,12.8,,16.66,0.0,101.0,
2014-08-13 23:45:00,12.78,,16.66,0.0,352.0,
2014-08-14 00:45:00,12.76,,16.66,0.0,298.0,
2014-08-14 01:45:00,12.75,,16.66,0.0,282.0,
2014-08-14 02:45:00,12.73,,16.66,0.0,215.0,
2014-08-14 03:45:00,12.71,,16.66,0.0,354.0,
2014-08-14 04:45:00,12.7,1.7,16.66,0.0,325.0,
2014-08-14 05:45:00,12.68,,16.66,0.0,266.0,
2014-08-14 06:45:00,12.67,1.0,16.66,0.0,38.0,
2014-08-14 07:45:00,12.65,1.3,16.66,0.0,6.0,
2014-08-14 08:45:00,12.63,,16.66,0.0,354.0,
2014-08-14 09:45:00,12.61,,16.66,0.0,345.0,13.0
2014-08-14 10:45:00,12.71,1.0,16.66,0.0,7.0,145.0
