data,Velocidade Média do Vento 10m,Precipitação Pluviométrica,Pressão Atmosférica,Direção do Vento 10m,Radiação,Temperatura do Ar a 2m,Umidade Relativa do Ar a 2m
2005-02-06 09:00:00,4.4,0.0,998.2,81.0,0.93,26.1,67.2
2005-02-06 12:00:00,3.9,0.0,999.8,93.0,220.37,30.2,51.2
2005-02-06 15:00:00,3.5,0.0,998.4,93.0,456.48,32.9,38.4
2005-02-06 18:00:00,2.9,0.0,996.0,102.0,400.0,34.1,33.6
2005-04-22 06:00:00,0.0,6.4,901.4,96.0,,,51.2
2005-04-22 18:00:00,2.0,0.0,995.5,99.0,187.96,34.8,36.8
2005-04-22 21:00:00,3.0,12.6,998.0,87.0,178.7,25.1,89.6
2005-04-23 00:00:00,1.0,0.0,1000.0,54.0,0.0,26.3,86.4
2005-04-23 03:00:00,1.0,0.0,1000.0,51.0,0.0,26.1,86.4
2005-04-23 06:00:00,2.0,0.0,998.2,156.0,0.0,25.0,88.0
2005-04-23 09:00:00,1.0,0.0,999.5,126.0,3.7,23.7,83.2
2005-04-23 12:00:00,3.0,0.0,1000.7,132.0,365.74,29.6,51.2
2005-04-23 15:00:00,3.0,0.0,998.2,117.0,831.48,32.8,40.0
2005-04-23 18:00:00,3.0,0.0,995.4,132.0,751.85,34.0,35.2
2005-04-23 21:00:00,2.0,0.0,996.6,105.0,195.37,29.9,57.6
2005-04-24 00:00:00,2.0,0.0,999.0,48.0,0.0,26.7,76.8
2005-04-24 03:00:00,2.0,0.0,999.4,27.0,0.0,25.8,81.6
2005-04-24 06:00:00,1.0,0.0,998.9,132.0,0.0,24.4,86.4
2005-04-24 09:00:00,1.0,0.0,999.8,135.0,3.7,24.3,86.4
2005-04-24 12:00:00,3.0,0.0,1001.1,144.0,181.48,28.7,62.4
2005-04-24 15:00:00,2.0,0.0,999.8,141.0,617.59,31.9,51.2
2005-04-24 18:00:00,1.0,0.0,996.4,87.0,568.52,33.6,43.2
2005-04-24 21:00:00,2.0,0.0,997.4,42.0,89.81,29.0,68.8
2005-04-25 00:00:00,1.0,0.0,999.8,27.0,0.0,26.4,83.2
2005-04-25 03:00:00,1.0,0.0,1000.2,333.0,0.0,25.2,89.6
2005-04-25 06:00:00,0.0,0.0,998.9,348.0,0.0,25.0,88.0
2005-04-25 09:00:00,1.0,0.0,999.9,108.0,1.85,24.1,88.0
2005-04-25 12:00:00,1.0,0.0,1001.4,168.0,260.19,28.3,68.8
2005-04-25 15:00:00,2.0,0.0,998.9,141.0,501.85,32.1,54.4
2005-04-25 18:00:00,1.0,0.0,996.2,87.0,516.67,33.4,49.6
2005-04-25 21:00:00,1.0,0.0,998.4,57.0,77.78,30.3,64.0
2005-04-26 00:00:00,2.0,0.0,1001.0,6.0,0.0,27.2,80.0
2005-04-26 03:00:00,1.0,0.0,1000.9,45.0,0.0,26.1,86.4
2005-04-26 06:00:00,1.0,0.0,999.7,360.0,0.0,25.2,89.6
2005-04-26 09:00:00,0.0,0.0,1000.7,105.0,1.85,24.6,92.8
2005-04-26 12:00:00,1.0,0.0,1001.7,111.0,273.15,30.7,65.6
2005-04-26 15:00:00,2.0,0.0,999.3,72.0,728.7,33.3,48.0
2005-04-26 18:00:00,2.0,0.0,996.7,54.0,624.07,34.6,41.6
2005-04-26 21:00:00,2.0,0.0,998.1,27.0,224.07,30.3,60.8
2005-04-27 00:00:00,2.0,0.0,1001.2,27.0,0.0,26.3,80.0
2005-04-27 03:00:00,0.0,0.0,1001.3,6.0,0.0,25.3,86.4
2005-04-27 06:00:00,0.0,0.0,1000.6,282.0,0.0,24.1,91.2
2005-04-27 09:00:00,0.0,0.0,1001.1,165.0,3.7,23.7,92.8
2005-04-27 12:00:00,1.0,0.0,1001.8,108.0,360.19,30.3,59.2
2005-04-27 15:00:00,2.0,0.0,999.4,102.0,526.85,32.7,51.2
2005-04-27 18:00:00,2.0,0.0,996.8,54.0,734.26,34.0,44.8
2005-04-27 21:00:00,3.0,0.0,997.8,42.0,177.78,30.4,60.8
2005-04-28 00:00:00,2.0,0.0,1001.2,27.0,0.0,26.2,78.4
2005-04-28 03:00:00,0.0,0.0,1001.7,354.0,0.0,25.7,88.0
2005-04-28 06:00:00,1.0,0.0,1000.9,78.0,0.0,26.2,86.4
2005-04-28 09:00:00,1.0,0.0,1001.3,111.0,3.7,25.0,92.8
2005-04-28 12:00:00,2.0,0.0,1002.3,105.0,235.19,30.0,67.2
2005-04-28 15:00:00,3.0,0.2,999.9,81.0,643.52,32.9,49.6
2005-04-28 18:00:00,3.0,0.0,998.0,57.0,677.78,31.4,56.0
2005-04-28 21:00:00,3.0,0.0,999.6,60.0,78.7,27.9,75.2
2005-04-29 00:00:00,1.0,0.0,1001.9,93.0,0.0,26.5,83.2
